Filename:  live_data.mca
Description:  
TimeStamp:  11/30/2023 14:18:32

Spectral Data Information
Channel	Data
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	5
29	381
30	2928
31	3682
32	3707
33	3929
34	3813
35	3778
36	3900
37	3750
38	3725
39	3728
40	3675
41	3590
42	3537
43	3488
44	3611
45	3454
46	3507
47	3374
48	3465
49	3386
50	3325
51	3246
52	3328
53	3268
54	3407
55	3315
56	3271
57	3213
58	3344
59	3191
60	3274
61	3159
62	3195
63	3170
64	3176
65	3114
66	3314
67	3139
68	3200
69	3141
70	3101
71	3091
72	3051
73	3065
74	3067
75	2982
76	3005
77	2917
78	2958
79	2883
80	2932
81	2896
82	2813
83	2845
84	2743
85	2764
86	2732
87	2711
88	2730
89	2722
90	2709
91	2623
92	2562
93	2563
94	2498
95	2535
96	2490
97	2504
98	2451
99	2437
100	2403
101	2402
102	2364
103	2291
104	2258
105	2227
106	2197
107	2274
108	2261
109	2238
110	2244
111	2180
112	2150
113	2136
114	2172
115	2087
116	2218
117	2069
118	2155
119	2082
120	2171
121	2171
122	2112
123	2187
124	2148
125	2116
126	1998
127	2142
128	1986
129	2057
130	2072
131	2101
132	2056
133	2007
134	2055
135	1965
136	2016
137	2169
138	1946
139	1941
140	2038
141	1981
142	1978
143	1975
144	1943
145	1930
146	2007
147	1840
148	1936
149	1938
150	1874
151	1906
152	1845
153	1817
154	1768
155	1852
156	1713
157	1670
158	1679
159	1676
160	1625
161	1541
162	1512
163	1481
164	1433
165	1328
166	1374
167	1227
168	1191
169	1186
170	1051
171	1102
172	1060
173	1006
174	1002
175	911
176	912
177	872
178	818
179	812
180	802
181	740
182	737
183	766
184	725
185	681
186	688
187	719
188	625
189	617
190	649
191	677
192	704
193	680
194	704
195	686
196	742
197	753
198	781
199	836
200	895
201	957
202	1056
203	1176
204	1369
205	1465
206	1703
207	1829
208	2021
209	2310
210	2553
211	2856
212	3106
213	3417
214	3849
215	4086
216	4377
217	4653
218	5104
219	5252
220	5495
221	5652
222	5835
223	5933
224	6325
225	6190
226	6289
227	6071
228	6223
229	6192
230	5734
231	5735
232	5501
233	5202
234	4828
235	4564
236	4095
237	3828
238	3490
239	3166
240	2799
241	2575
242	2257
243	2038
244	1689
245	1479
246	1208
247	991
248	852
249	707
250	590
251	508
252	368
253	314
254	234
255	212
256	173
257	113
258	109
259	100
260	98
261	86
262	72
263	58
264	66
265	72
266	75
267	51
268	51
269	71
270	61
271	67
272	62
273	50
274	66
275	57
276	81
277	62
278	52
279	46
280	50
281	60
282	56
283	49
284	57
285	52
286	49
287	57
288	54
289	48
290	64
291	59
292	45
293	50
294	57
295	49
296	47
297	46
298	68
299	47
300	52
301	42
302	51
303	54
304	46
305	56
306	52
307	54
308	50
309	45
310	58
311	62
312	50
313	61
314	53
315	45
316	54
317	48
318	54
319	59
320	48
321	46
322	48
323	47
324	42
325	45
326	45
327	41
328	49
329	51
330	62
331	42
332	37
333	36
334	49
335	44
336	45
337	37
338	46
339	31
340	42
341	38
342	37
343	45
344	34
345	30
346	43
347	42
348	42
349	44
350	46
351	45
352	41
353	40
354	30
355	43
356	49
357	42
358	34
359	43
360	32
361	44
362	30
363	34
364	51
365	35
366	49
367	33
368	34
369	44
370	27
371	45
372	43
373	39
374	39
375	43
376	35
377	30
378	36
379	29
380	45
381	46
382	33
383	41
384	31
385	32
386	42
387	37
388	41
389	19
390	35
391	43
392	34
393	34
394	46
395	43
396	21
397	27
398	27
399	37
400	34
401	39
402	35
403	25
404	31
405	29
406	31
407	22
408	33
409	26
410	28
411	25
412	17
413	29
414	31
415	23
416	29
417	21
418	29
419	25
420	29
421	20
422	31
423	14
424	13
425	22
426	16
427	21
428	13
429	19
430	21
431	16
432	18
433	21
434	22
435	23
436	24
437	24
438	15
439	19
440	16
441	23
442	20
443	16
444	27
445	18
446	17
447	25
448	13
449	16
450	28
451	21
452	22
453	31
454	19
455	19
456	23
457	29
458	18
459	23
460	23
461	38
462	32
463	34
464	37
465	37
466	23
467	42
468	47
469	42
470	44
471	50
472	54
